Empresa,Complejo,planta,tag,servicio,tipo,fluido_c,temp_diseno_c,temp_entrada_c,temp_salida_c,flujo_total_c,flujo_entrada_vaporc,flujo_salida_vaporc,flujo_entrada_liquidoc,flujo_salida_liquidoc,cambio_fase,presion_diseno,presion_entrada_c,caida_carcasa_max_c,caida_carcasa_min_c,,fouling_carcasa,fluido_t,temperatura_diseno_t,temp_entrada_t,temp_salida_t,flujo_total_t,flujo_entrada_vaport,flujo_salida_vaport,flujo_entrada_liquidot,flujo_salida_liquidot,cambio_faset,presion_diseno_t,presion_entrada_t,caida_presion_max_t,caida_presion_min_t,,fouling_t,,q,mtd_c,area_total,n_tubos,long_tubos,od_tubos,id_carcasa,mat_carcasa,mat_tubo,conexiones_entrada_t,conexiones_salida_t,conexiones_entrada_c,conexiones_salida_c,tipo_tubo,pitch,fabricante,criticidad,corrosion_carcasa,corrosion_tubo,arreglo_serie,arreglo_paralelo,pasos_tubo,paso_carcasa,tema,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,180-C,Enfriador 1era etapa 181-J,TUBO/CARCASA,Gas de proceso,343,97.6,40.6,117223,117223,114490,,2733,Cambio de Fase Parcial,6.2132,3.103,0.4,0.35,,0.00022,Agua enfriamiento,343,33.3,40.3,697188,,,697188,697188,Sin Cambio de Fase,8.0132,5.503,0.8,0.8,,0.000294,,5657700,14.5,1405,738,11,0.0254,1.193,SA-516-70,SA-179,"14""-150#RF","14""-150#RF","2-20""-150#RF","26""-150#RF",Liso,0.03175,Kellog,Semi-cr’tico,0.003,0.005,1,1,2,,AJS,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,181-C,Enfriador 2da etapa 181-J,TUBO/CARCASA,Gas de proceso,343,95.5,40.6,114699,114699,113296,,1403,Cambio de Fase Parcial,7.2132,5.583,0.9,0.3,,0.00022,Agua enfriamiento,343,33.3,40.3,534021,,,534021,534021,Sin Cambio de Fase,8.0132,5.503,0.8,0.8,,0.000294,,4347583,16.4,579,980,10,0.01905,1.016,SA-516-70,SA-179,"10""-150#RF","10""-150#RF","2-16""-150#RF","20""-150#RF",Liso,0.0238,Kellog,Semi-cr’tico,0.005,0.003,1,1,2,,AJS,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,182-C,Enfriador 3era etapa 181-J,TUBO/CARCASA,Gas de proceso,275,96.8,40.6,114311,114311,113179,,1127,Cambio de Fase Parcial,12.0132,9.833,0.62,0.2,,0.00022,Agua enfriamiento,343,33.3,40.3,528988,,,528988,528988,Sin Cambio de Fase,8.4132,5.503,0.7,0.6,,0.000294,,428100,17.8,579,1352,7.315,0.01905,1.194,SA-516-70,SA-179,"10""-150#RF","10""-150#RF","2-14""-150#RF","18""-150#RF",Liso,0.0238,Kellog,Semi-cr’tico,0.003,0.003,1,1,2,,AJS,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,183-C A,Rehervidor C3 splitter,TUBO/CARCASA,Hidrocarburos,343,66.1,68.2,593160,,207606,593160,385554,Cambio de Fase Parcial,24.5132,20.733,,,,0.000222,Agua Quench,149,110.9,74.6,378828,,,378828,378828,Sin Cambio de Fase,16.7132,6.993,0.7,0.4,,0.000352,,15975000,19.5,939,866,6.096,0.01905,0.864,SA-516-70,SA 214,"8""-300#RF","8""-300#RF","2-10""-300#RF","2-12""-300#RF",Liso,0.02381,Kellog,No-cr’tico,0.003,0.006,1,3,4,,AXS,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,183-C B,Rehervidor C3 splitter,TUBO/CARCASA,Hidrocarburos,343,66.1,68.2,593160,,207606,593160,38554,Cambio de Fase Parcial,24.5132,20.733,,,,0.000223,Agua Quench,149,110.9,74.6,378828,,,378828,378828,Sin Cambio de Fase,16.7132,6.993,0.7,0.4,,0.000352,,15975000,19.5,939,866,6.096,0.01905,0.864,SA-516-71,SA 215,"8""-300#RF","8""-300#RF","2-10""-300#RF","2-12""-300#RF",Liso,0.02381,Kellog,No-cr’tico,0.003,0.006,1,3,4,,AXS,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,183-C C,Rehervidor C3 splitter,TUBO/CARCASA,Hidrocarburos,343,66.1,68.2,593160,,207606,593160,38554,Cambio de Fase Parcial,24.5132,20.733,,,,0.000224,Agua Quench,149,110.9,74.6,378828,,,378828,378828,Sin Cambio de Fase,16.7132,6.993,0.7,0.4,,0.000352,,15975000,19.5,939,866,6.096,0.01905,0.864,SA-516-72,SA 216,"8""-300#RF","8""-300#RF","2-10""-300#RF","2-12""-300#RF",Liso,0.02381,Kellog,No-cr’tico,0.003,0.006,1,3,4,,AXS,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,101-C,Vaporizador Propano,TUBO/CARCASA,Propano,-6.7,18.5,18.5,61999,9766,43950,52233,18049,Cambio de Fase Parcial,11.3532,7.903,0.02,0.015,,0.00022,Propileno,-6.7,63.4,26,29654,29654,,,29654,Cambio de Fase Total,23.4132,11.783,0.03,0.03,,0.00018,,3333240,9.5,783,1837,7.315,0.01905,1.295,CS,CS,"10""-150#RF","6""-150#RF","2-6""-150#RF","3-10""-150#RF",Liso,0.02381,Kellog,Semi-cr’tico,0.00318,0.00159,1,1,2,,BJM,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,204-C A,Enfriador reflujo pirolisis,TUBO/CARCASA,Agua enfriamiento,343,33.3,40.3,3370.36,,,3370.36,3370.36,Sin Cambio de Fase,8.013,5.503,0.7,0.7,,0.000294,Agua Proceso,292,88.9,40.6,630000,,,630000,630000,Sin Cambio de Fase,11.513,10.12,0.5,0.4,,0.000352,,27438700,15,2325,1797,7.315,,1.43,SA-516-70,SA 214,"8""-150#RF","8""-150#RF","18""-150#RF","18""-150#RF",Liso,,Kellog,No-cr’tico,0.006,0.003,1,3,4,1,AET,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,204-C B,Enfriador reflujo pirolisis,TUBO/CARCASA,Agua enfriamiento,343,33.3,40.3,3370.36,,,3370.36,3370.36,Sin Cambio de Fase,8.013,5.503,0.7,0.7,,0.000294,Agua Proceso,292,88.9,40.6,630000,,,630000,630000,Sin Cambio de Fase,11.513,10.12,0.5,0.25,,0.000352,,27438700,15,2325,1797,7.315,,1.43,SA-516-70,SA 214,"8""-150#RF","8""-150#RF","18""-150#RF","18""-150#RF",Liso,,Kellog,No-cr’tico,0.006,0.003,1,3,4,1,AET,,,,,,,,,,,,,,
PQV,AMC,OLEFINAS I,204-C C,Enfriador reflujo pirolisis,TUBO/CARCASA,Agua enfriamiento,343,33.3,40.3,3370.36,,,3370.36,3370.36,Sin Cambio de Fase,8.013,5.503,0.7,0.7,,0.000294,Agua Proceso,292,88.9,40.6,630000,,,630000,630000,Sin Cambio de Fase,11.513,10.12,0.5,0.25,,0.000352,,27438700,15,2325,1797,7.315,,1.43,SA-516-70,SA 214,"8""-150#RF","8""-150#RF","18""-150#RF","18""-150#RF",Liso,,Kellog,No-cr’tico,0.006,0.003,1,3,4,1,AET,,,,,,,,,,,,,,
