ACERTONA;acetone;G
ACETALDEHIDO;acetaldehyde;G
AIRE;air;G
AIRE;air;G
AMONIACO;ammonia;G
BENCENO;benzene;L
BENCENO;benzene;G
ISOBUTANO;isobutan;G
n-BUTANO;n-butane;G
ISOBUTENO;isobutan;G
DIOXIDO DE CARBONO;carbon dioxide;G
MONOXIDO DE CARBONO;carbon monoxide;G
TETRACLORURO DE CARBONO;carbon tetrachloride;L
CLORO;chlorine;G
CUMENO (ISOPROPIL BENCENO);cumene;G
CICLOHEXANO;cyclohexane;G
CICLOPENTANO;cyclopentane;G
ETANO;ethane;G
ALCOHOL ETILICO;ethyl alcohol;L
ALCOHOL ETILICO;ethyl alcohol;G
ETILENO;ethlene;G
FORMALDEHIDO;formaldehyde;G
HELIO;helium;G
n-HEXANO;n-hexane;L
n-HEXANO;n-hexane;G
HIDROGENO;hydrogen;G
BROMURO DE HIDROGENO;hydrogen bromide;G
CLORURO DE HIDROGENO;hydrogen chloride;G
CIANURO DE HIDROGENO;hydrogen cyanide;G
SULFURO DE HIDROGENO;hydrogen sulfide;G
METANO;methane;G
METANO;methane;G
ALCOHOL METILICO;methyl alcohol;L
ALCOHOL METILICO;methyl alcohol;G
METIL CICLOHEXNO;cyclohexane alcohol;G
METIL CICLOPENTANO;cyclopentane alcohol;G
ACIDO NITRICO;nitric acid;L
OXIDO NITRICO;nitric oxide;G
NITROGENO;nitrogen;G
DIOXIDO DE NITROGENO;nitrogen dioxide;G
TETROXIDO DE NITROGENO;nitrogen tetroxide;G
OXIDO NITROSO;nitrous oxide;G
OXIGENO;oxygen;G
n-PENTANO;n-pentane;L
n-PENTANO;n-pentane;G
PROPANO;propane;G
PROPILENO;propylene;G
ACIDO SULFURICO;sulfuric acid;L
DIOXIDO DE AZUFRE;sulfur dioxide;G
TRIOXIDO DE AZUFRE;sulfur trioxide;G
TOLUENO;toluene;L
TOLUENO;toluene;G
AGUA;water;L
AGUA;water;G
